,ticker,price,change_amount,change_percentage,volume,category
0,RVSNW,0.07,0.0606,644.6809,3426,Top Gainers
1,WINVW,0.01,0.0069,222.5806,3822,Top Gainers
2,LIVBW,0.0289,0.0189,189.0,4,Top Gainers
3,HCDIW,0.0097,0.0061,169.4444,2000,Top Gainers
4,BETRW,0.111,0.0695,167.4699,128068,Top Gainers
5,CELUW,0.0188,0.0115,157.5342,8498,Top Gainers
6,NOVVW,0.0231,0.013,128.7129,2151,Top Gainers
7,RELIW,0.12,0.0638,113.5231,12000,Top Gainers
8,NVVEW,0.0241,0.0121,100.8333,44605,Top Gainers
9,NBSTW,0.044,0.0209,90.4762,307,Top Gainers
10,SHPWW,0.0064,0.003,88.2353,1613,Top Gainers
11,ARIZW,0.0185,0.0085,85.0,215906,Top Gainers
12,SAITW,0.07,0.03,75.0,1008,Top Gainers
13,AENTW,0.0106,0.0044,70.9677,6509,Top Gainers
14,NRXPW,0.085,0.035,70.0,1150,Top Gainers
15,CUENW,0.0331,0.0133,67.1717,30014,Top Gainers
16,CTOS+,0.0249,0.0099,66.0,646,Top Gainers
17,SONDW,0.025,0.0099,65.5629,12222,Top Gainers
18,CHSN,4.76,1.86,64.1379,5631706,Top Gainers
19,ANY,1.74,0.67,62.6168,25473230,Top Gainers
20,GSDWW,0.0052,-0.0148,-74.0,5100,Top Losers
21,HAIAW,0.0225,-0.036,-61.5385,16,Top Losers
22,JWSM+,0.0074,-0.0095,-56.213,9400,Top Losers
23,NUBIW,0.0501,-0.0599,-54.4545,7913,Top Losers
24,IBIO,1.3,-1.4,-51.8519,3051220,Top Losers
25,NRSNW,0.1206,-0.1294,-51.76,4855,Top Losers
26,BETS,0.0335,-0.0359,-51.7291,831642645,Top Losers
27,CCGWW,0.06,-0.06,-50.0,427,Top Losers
28,OXUSW,0.0515,-0.0465,-47.449,34103,Top Losers
29,AEVA+,0.0112,-0.01,-47.1698,63295,Top Losers
30,COEPW,0.037,-0.033,-47.1429,161687,Top Losers
31,LIDRW,0.0053,-0.0047,-47.0,1000,Top Losers
32,REPL,6.75,-5.57,-45.211,13886901,Top Losers
33,SHCRW,0.0211,-0.0166,-44.0318,500,Top Losers
34,LMND+,0.0142,-0.011,-43.6508,26486,Top Losers
35,VCXAW,0.04,-0.0299,-42.7754,3746,Top Losers
36,ONMD,1.84,-1.21,-39.6721,142945,Top Losers
37,CLNNW,0.0303,-0.0197,-39.4,19657,Top Losers
38,DUETW,0.0161,-0.0099,-38.0769,42841,Top Losers
39,NXGLW,0.25,-0.15,-37.5,2428,Top Losers
40,BETS,0.0335,-0.0359,-51.7291,831642645,Most Actively Traded
41,GMBL,0.0172,-0.0014,-7.5269,331169824,Most Actively Traded
42,NXU,0.0255,-0.0018,-6.5934,267954763,Most Actively Traded
43,WNW,0.08,0.008,11.1111,162215147,Most Actively Traded
44,TSLA,238.72,3.14,1.3329,137253115,Most Actively Traded
45,SQQQ,16.23,-0.12,-0.7339,112194107,Most Actively Traded
46,NIO,7.425,0.105,1.4344,89283322,Most Actively Traded
47,TQQQ,43.29,0.31,0.7213,82821681,Most Actively Traded
48,MARA,15.28,0.42,2.8264,76202916,Most Actively Traded
49,TLT,94.61,1.995,2.1541,73346106,Most Actively Traded
50,T,17.23,0.57,3.4214,71067190,Most Actively Traded
51,LU,0.8077,-0.0751,-8.507,70271326,Most Actively Traded
52,SPY,456.62,-0.07,-0.0153,68768888,Most Actively Traded
53,AAPL,193.42,3.99,2.1063,65294139,Most Actively Traded
54,ALLR,0.5796,-0.0294,-4.8276,64130067,Most Actively Traded
55,BITF,1.95,0.2,11.4286,57667502,Most Actively Traded
56,SOXS,8.785,0.155,1.7961,57544781,Most Actively Traded
57,PLTR,18.305,-0.095,-0.5163,53625904,Most Actively Traded
58,MULN,0.1741,-0.0333,-16.0559,53199343,Most Actively Traded
59,CLSK,9.31,0.44,4.9605,51859944,Most Actively Traded
