name,ticker,image
Microsoft,MSFT,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
Apple,AAPL,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l476432a3e85a0aa21c23f5abd2975a89b6820d63.png
Amazon,AMZN,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l74c0fda1054b04bf3e2365d467e32a47e3feba7b.png
Meta Platforms (Facebook),META,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l0723013335c55d4193228fb0f1f0de4a4526aec0.png
JPMorgan Chase,JPM,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l99f5e9d88edfc330050f0ebdd37af8909672bb0d.png
Bank of America,BAC,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/lb80e2d3601b59154da80bd0a07f9d9705ced29dc.png
Wells Fargo,WFC,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l56d0c8291a6bbd1e07b6056260ee76efa4b1b40b.png
Goldman Sachs,GS,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/lcf7109d7376dbb89532f231d26b0992bbec26f18.png
Citigroup,C,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/lc1c9e70d475dc5d5fb5a0f2ac9df90cb04ee456b.png
Johnson & Johnson,JNJ,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l96ad05b7b160ba305a50e53992e3c7537697ec6d.png
Pfizer,PFE,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l531d5b28f1f18f219741627c0f2a1e09d355e46a.png
Merck,MRK,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l4504468bad51eef6a2ac6172fa89a91614df3c56.png
UnitedHealth,UNH,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l746d7373d990fbe39e7f365057ace7a548d35414.png
Amgen,AMGN,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/lcbfe0e865411f39de813b48d70d9976c3e01422e.png
Netflix,NFLX,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/lca024fd6b411da542baf71f9db26f82a58fbcf7e.png
Walt Disney,DIS,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l9cff77d5960faceb41f558ab3b5f4c2751ef1628.png
Tesla,TSLA,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/lefd12553d6a4f7e57b3ac4f4927181d7a651d0d6.png
Nike,NKE,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/la392cf154ee26de29bd59ce937f585b1a482bb43.png
McDonald,MCD,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l50c854beeb0f6a4e3465b44ab16cd02c9c0bb6b4.png
Procter & Gamble,PG,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l9e4aa61269f9ce565227de1ab9e9f2472cdf2178.png
