,optionSymbol,expiration,side,strike,bid,ask,last,openInterest,volume,ticker,sector,lastPrice,52weekHigh,52weekLow,tradedVolume,image
0,MSFT231215C00160000,1702674000,call,160,211.85,213.5,169.45,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
1,MSFT231215C00165000,1702674000,call,165,205.95,208.5,179.4,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
2,MSFT231215C00170000,1702674000,call,170,200.75,203.45,202.2,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
3,MSFT231215C00175000,1702674000,call,175,195.8,198.45,161.5,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
4,MSFT231215C00180000,1702674000,call,180,190.8,193.55,196.93,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
5,MSFT231215C00185000,1702674000,call,185,186.25,188.55,184.65,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
6,MSFT231215C00190000,1702674000,call,190,180.8,183.55,186.64,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
7,MSFT231215C00195000,1702674000,call,195,176.15,178.5,166.85,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
8,MSFT231215C00200000,1702674000,call,200,171.2,173.5,172,0,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
9,MSFT231215C00205000,1702674000,call,205,165.85,168.6,157.45,2,0,MSFT,Technology,372.52,384.3,219.35,22882179,https://api-ninjas-data.s3.us-west-2.amazonaws.com/logos/l11f3242118ff2add5d117cbf216f29ac578f6ba6.png
